"index";"Nof Learners";"alpha";"batch_size";"units";"n_layers";"l2_lambda";"learning_rate";"epochs";"time_steps_in";"coverage";"avg_width";"cwc";"coverage_conf";"avg_width_conf";"cwc_conf"
1;1;0,05;16;16;1;0,0001;0,0001;175,333333333333;6;0,010893246187364;0,00738874371885;5,27E-11;0;;
2;1;0,05;16;16;2;0,0001;0,0001;135,666666666667;6;0,076252723311547;0,047622736948045;1,87E-07;0;;
3;1;0,05;16;16;3;0,0001;0,0001;82,6666666666667;6;0,002178649237473;0,018354547780922;3,13E-11;0;;
4;1;0,05;16;32;1;0,0001;0,0001;131,666666666667;6;0,03921568627451;0,014709671572687;1,88E-09;0;;
5;1;0,05;16;32;2;0,0001;0,0001;104;6;0,043572984749455;0,033484554601979;2,84E-10;0;;
6;1;0,05;16;32;3;0,0001;0,0001;104,666666666667;6;0,013071895424837;0,01977782047034;7,38E-11;0;;
7;1;0,05;16;64;1;0,0001;0,0001;75,3333333333333;6;0,037037037037037;0,011751795136996;3,61E-10;0;;
8;1;0,05;16;64;2;0,0001;0,0001;73,3333333333333;6;0,045751633986928;0,025650237557319;3,49E-10;0;;
9;1;0,05;16;64;3;0,0001;0,0001;88,3333333333333;6;0,054466230936819;0,033374421887921;1,45E-09;0;;
10;2;0,05;16;16;1;0,0001;0,0001;178,333333333333;6;0;0,023020505009591;2,73E-11;0,056644880174292;0,074922469417208;5,28E-10
11;2;0,05;16;16;2;0,0001;0,0001;114,666666666667;6;0;0,018908115268194;2,74E-11;0,06318082788671;0,085474180116961;7,41E-10
12;2;0,05;16;16;3;0,0001;0,0001;97;6;0;0,040134859344984;2,68E-11;0,069716775599129;0,152332102048533;8,92E-10
13;2;0,05;16;32;1;0,0001;0,0001;129,333333333333;6;0,013071895424837;0,027192733287304;6,39E-11;0,082788671023965;0,058230867332227;2,25E-09
14;2;0,05;16;32;2;0,0001;0,0001;107,333333333333;6;0,026143790849673;0,012163497266455;1,89E-10;0,084967320261438;0,079141642817439;3,15E-09
15;2;0,05;16;32;3;0,0001;0,0001;131,333333333333;6;0,019607843137255;0,037873810618336;2,10E-10;0,091503267973856;0,125461717011899;8,29E-09
16;2;0,05;16;64;1;0,0001;0,0001;95;6;0,015250544662309;0,031046690274314;9,49E-11;0,082788671023965;0,040631445325025;5,08E-09
17;2;0,05;16;64;2;0,0001;0,0001;94,6666666666667;6;0,074074074074074;0,030836734666751;1,63E-09;0,154684095860566;0,076192882938803;9,70E-08
18;2;0,05;16;64;3;0,0001;0,0001;96,3333333333333;6;0,002178649237473;0,021970830142031;3,12E-11;0,067538126361656;0,104570410427617;8,48E-10
19;3;0,05;16;16;1;0,0001;0,0001;256,333333333333;6;0;0,037120651441957;2,69E-11;0,06318082788671;0,115873864971529;6,89E-10
20;3;0,05;16;16;2;0,0001;0,0001;148,666666666667;6;0;0,033933341949171;2,70E-11;0,069716775599129;0,136727093114225;9,10E-10
21;3;0,05;16;16;3;0,0001;0,0001;148,333333333333;6;0;0,049783624738065;2,66E-11;0,071895424836601;0,164546678880595;9,71E-10
22;3;0,05;16;32;1;0,0001;0,0001;163,333333333333;6;0,019607843137255;0,013965628914526;1,66E-10;0,07843137254902;0,065143310547796;2,30E-09
23;3;0,05;16;32;2;0,0001;0,0001;130;6;0,019607843137255;0,019306998219048;1,03E-10;0,084967320261438;0,085731049488587;2,09E-09
24;3;0,05;16;32;3;0,0001;0,0001;129,666666666667;6;0,004357298474946;0,029542044558571;3,64E-11;0,069716775599129;0,121111413186517;9,24E-10
25;3;0,05;16;64;1;0,0001;0,0001;129;6;0,047930283224401;0,020996084677182;8,20E-10;0,128540305010893;0,044288119674195;4,07E-08
26;3;0,05;16;64;2;0,0001;0,0001;119,333333333333;6;0,07843137254902;0,030477792390873;4,76E-09;0,154684095860566;0,062016112745408;1,25E-07
27;3;0,05;16;64;3;0,0001;0,0001;136,666666666667;6;0,03921568627451;0,040579417585919;3,44E-10;0,104575163398693;0,108411298065772;9,39E-09
